Taxon Name,Catalogue Number,Ontogenetic stage,Tissue,666,1580,1683,(S+N)/Amide = MC in vivo [normalized spectral intensities],Added during Revision*: Scaled (+ 0.3),Literature MR [mL O2 * 1/h * 1/g],Calculated MR (regression incl. *taxa),Corrected MR [mL O2 * 1/h * 1/g],Calculated MR (regression excl. *taxa),Corrected MR [mL O2 * 1/h * 1/g] (excl. *taxa)
Anthrozous,YPM VZ MAM 6545,Adult,Femur,0.3896,0.3874,0.6062,1.281755196,,1.3,4.151266282,5.051266282,4.227009931,5.127009931
Aotus,YPM VZ MAM 1503,Adult,Femur,0.2957,0.4827,0.6777,1.148590822,,3,2.882569337,3.782569337,2.825721219,3.725721219
Ara,YPM VZ ORN 84773,Adult,Femur,0.3427,0.4912,0.6704,1.243884248,,5,3.790458398,4.690458398,3.828493944,4.728493944
Bos,Cat. no. to be added,Adult,Femur,0.4475,0.4882,0.6862,1.663596619,1.663596619,6,7.789184069,8.689184069,8.245127222,9.145127222
Chironectes,Cat. no. to be added,Adult,Femur,0.2164,0.2834,0.6711,1.04474743,1.04474743,2.5,1.893222186,2.793222186,1.732977202,2.632977202
Columbina,YPM VZ ORN 137085,Adult,Femur,0.1884,0.4568,0.4813,1.340536048,,6,4.711289092,5.611289092,4.845560835,5.745560835
Crypturellus,YPM VZ ORN 102518,Adult,Femur,0.4308,0.3084,0.5099,1.449696019,,5,5.75128888,6.65128888,5.994251206,6.894251206
Dendrocygna,YPM VZ ORN 84805,Adult,Femur,0.2115,0.583,0.4325,1.83699422,,12,9.441195029,10.34119503,10.06979017,10.96979017
Iguana,Cat. no. to be added,Adult,Femur,0.1476,0.2673,0.7225,0.874256055,0.874256055,0.5,0.268899716,1.168899716,-0.061103529,0.838896471
Marmosa,YPM VZ MAM 12712,Adult,Femur,0.3606,0.3932,0.6255,1.205115907,,1.5,3.421100783,4.321100783,3.420534692,4.320534692
Mustela,YPM VZ MAM 15091,Adult,Femur,0.3744,0.4104,0.5776,1.358725762,,5,4.88458795,5.78458795,5.036971191,5.936971191
Oceanodroma,YPM VZ ORN 109108,Adult,Femur,0.4078,0.3904,0.6442,1.239056194,,2,3.744460075,4.644460075,3.777688327,4.677688327
Ochotona,YPM VZ MAM 14835,Adult,Femur,0.2087,0.3225,0.4505,1.179134295,,5,3.173566171,4.073566171,3.147130189,4.047130189
Passer,YPM VZ ORN 109464,Adult,Femur,0.3311,0.341,0.5636,1.19251242,,4,3.301023581,4.201023581,3.287908197,4.187908197
Platypus,YPM VZ MAM 3932,Adult,Femur,0.364,0.3472,0.6236,1.140474663,,3,2.805244259,3.705244259,2.740314881,3.640314881
Puma,Cat. no. to be added,Adult,Femur,0.2715,0.4387,0.6412,1.40761073,1.40761073,5.5,5.350329707,6.250329707,5.551387711,6.451387711
Rattus,YPM VZ MAM 6589,Adult,Femur,0.4271,0.4579,0.6859,1.29027555,,5,4.232442251,5.132442251,4.316669617,5.216669617
Spheniscus,YPM VZ ORN 103791,Adult,Femur,0.3716,0.4051,0.6462,1.201949861,,5,3.390936908,4.290936908,3.387218384,4.287218384
Tachyglossus,YPM VZ MAM 6799,Adult,Femur,0.2827,0.3948,0.6241,1.085563211,,5,2.28208638,3.18208638,2.16248167,3.06248167
Tenrec,YPM VZ MAM 4170,Adult,Femur,0.3341,0.3698,0.5922,1.18861871,,1.2,3.263927035,4.163927035,3.246934684,4.146934684
Topaza,YPM VZ ORN 101486,Adult,Femur,0.3785,0.3218,0.4316,1.622567192,,8,7.398284407,8.298284407,7.81337456,8.71337456
Agama,Cat. no. to be added,Adult,Femur,0.2436,0.3313,0.5386,1.067396955,,1.3,2.10901101,3.00901101,1.971318158,2.871318158
Furcifer,Cat. no. to be added,Adult,Femur,0.1106,0.2967,0.5094,0.799568119,,0.5,-0.442674656,0.457325344,-0.84704468,0.05295532
Varanus,Cat. no. to be added,Adult,Femur,0.3389,0.2978,0.4884,1.303644554,,1.4,4.359812756,5.259812756,4.457351638,5.357351638
Gavialis,Cat. no. to be added,Juvenile,Femur,0.2184,0.3524,0.597,0.956113903,,0.3,1.048783987,1.948783987,0.8002866,1.7002866