Age,Taxon,thermy,thermy_3_cat,thermy_supp_table_1,source_therm_supp_table_1,Calculated MRs [mL O2 * 1/h * 1/g],Body mass (kg),Body mass (g),Mass-spec. MR [ mL O2 * 1/h],Log(10) Upper MR,Log(10) Body Mass (g)
Fossil,Anseriform bird,endo,known endotherm,endotherm,avian,11.79700076,5,5000,58985.00382,4.770741612,3.698970004
Fossil,Hesperornis,endo,known endotherm,endotherm,avian,6.122936413,24,24000,146950.4739,5.167170991,4.380211242
Fossil,Brontothere,endo,known endotherm,endotherm,mammalian,5.229979549,800,800000,4183983.639,6.621589978,5.903089987
Fossil,Telmatornis,endo,known endotherm,endotherm,avian,5.196297277,15,15000,77944.45915,4.891785248,4.176091259
Fossil,Marsupial,endo,known endotherm,endotherm,mammalian,4.554530476,15,15000,68317.95713,4.834534871,4.176091259
Fossil,Insectivore,endo,known endotherm,endotherm,mammalian,4.520698854,0.5,500,2260.349427,3.354175582,2.698970004
Fossil,Cetacean,endo,known endotherm,endotherm,mammalian,4.508190999,5000,5000000,22540955,7.352972312,6.698970004
Extant,Dendrocygna,endo,known endotherm,NA,NA,10.34119503,0.75,750,7755.896272,3.889631992,2.875061263
Extant,Bos,endo,known endotherm,NA,NA,8.689184069,900,900000,7820265.662,6.893221507,5.954242509
Extant,Topaza,endo,known endotherm,NA,NA,8.298284407,0.02,20,165.9656881,2.220018311,1.301029996
Extant,Crypturellus,endo,known endotherm,NA,NA,6.65128888,0.22,220,1463.283554,3.165328491,2.342422681
Extant,Puma,endo,known endotherm,NA,NA,6.250329707,100,100000,625032.9707,5.795902927,5
Extant,Mustela,endo,known endotherm,NA,NA,5.78458795,0.25,250,1446.146988,3.160212437,2.397940009
Extant,Columbina,endo,known endotherm,NA,NA,5.611289092,0.045,45,252.5080091,2.402275158,1.653212514
Extant,Rattus,endo,known endotherm,NA,NA,5.132442251,0.23,230,1180.461718,3.072051908,2.361727836
Extant,Ara,endo,known endotherm,NA,NA,4.690458398,1,1000,4690.458398,3.671215288,3
Extant,Oceanodroma,endo,known endotherm,NA,NA,4.644460075,0.06,60,278.6676045,2.445086484,1.77815125
Extant,Marmosa,endo,known endotherm,NA,NA,4.321100783,0.04,40,172.8440313,2.237654387,1.602059991
Extant,Spheniscus,endo,known endotherm,NA,NA,4.290936908,4,4000,17163.74763,4.23461212,3.602059991
Extant,Passer,endo,known endotherm,NA,NA,4.201023581,0.035,35,147.0358253,2.167423164,1.544068044
Extant,Tenrec,endo,known endotherm,NA,NA,4.163927035,0.1,100,416.3927035,2.619503111,2
Extant,Ochotona,endo,known endotherm,NA,NA,4.073566171,0.15,150,611.0349256,2.786066034,2.176091259
Extant,Aotus,endo,known endotherm,NA,NA,3.782569337,0.6,600,2269.541602,3.355938148,2.77815125
Extant,Platypus,endo,known endotherm,NA,NA,3.705244259,1,1000,3705.244259,3.568816843,3
Extant,Tachyglossus,endo,known endotherm,NA,NA,3.18208638,3.5,3500,11137.30233,4.046780009,3.544068044
Extant,Chironectes,endo,known endotherm,NA,NA,2.793222186,0.4,400,1117.288874,3.048165474,2.602059991
Fossil,Diplodocid,oth,unknown,endotherm,"Based on Fig. 1d, Legendre et al. 2016",10.17625585,56000,56000000,569870327.4,8.755776044,7.748188027
Fossil,Rhamphorhynchoid,oth,known endotherm,endotherm,De Ricqles et al. 2000,6.164370979,2,2000,12328.74196,4.090918763,3.301029996
Fossil,Pachycephalosaur,oth,unknown,endotherm,"Based on Fig. 1d, Legendre et al. 2016",5.841256615,370,370000,2161264.947,6.33470801,5.568201724
Fossil,Allosaurus,oth,unknown,endotherm,Legendre et al. 2016,5.836541254,3500,3500000,20427894.39,7.310223604,6.544068044
Fossil,Deinonychus,oth,unknown,endotherm,Rezende et al. 2020,5.445599469,100,100000,544559.9469,5.736045695,5
Fossil,Nodosaurus,oth,unknown,endotherm,Based on Fig 1d,5.205323183,4800,4800000,24985551.28,7.397688936,6.681241237
Fossil,Saniwa,oth,known other,(facult.) endotherm,"Christian & Conley 1994, Tattersall et al. 2016",4.573117381,1,1000,4573.117381,3.660212349,3
Fossil,Tyrannosaurus,oth,unknown,endotherm,Rezende et al. 2020 Amiot et al. 2006,4.368671938,7700,7700000,33638773.92,7.526840158,6.886490725
Fossil,Dryosaurus,oth,unknown,endotherm,"Based on Fig. 1d, Legendre et al. 2016",3.753214538,90,90000,337789.3085,5.528645899,4.954242509
Fossil,Pteranodon,oth,known endotherm,endotherm,De Ricqles et al. 2000,3.085468916,20,20000,61709.37832,4.790351171,4.301029996
Fossil,Polyglyphanodon,oth,known other,ectotherm,Lepidosaur,2.8633625,0.5,500,1431.68125,3.155846337,2.698970004
Fossil,Odaxosaurus,oth,known other,ectotherm,Lepidosaur,2.69727165,1,1000,2697.27165,3.430924688,3
Fossil,Plesiosaur,oth,known endotherm,endotherm,Fleischle et al. 2018,2.518092449,3000,3000000,7554277.347,6.878192925,6.477121255
Fossil,Melanosaurus,oth,known other,ectotherm,Lepidosaur,2.051290964,0.3,300,615.3872892,2.789148522,2.477121255
Fossil,Crocodylomorph,oth,known other,ectotherm,"Based on Fig. 1d, Legendre et al. 2016",1.743575259,150,150000,261536.2888,5.417531957,5.176091259
Fossil,Hadrosaur,oth,unknown,ectotherm,"Based on Fig. 1d, Legendre et al. 2016",1.634396212,7600,7600000,12421411.21,7.094170939,6.880813592
Fossil,Xanthusiid,oth,known other,ectotherm,Lepidosaur,1.627235744,0.3,300,488.1707232,2.68857173,2.477121255
Fossil,Triceratops,oth,unknown,ectotherm,"Based on Fig. 1d, Legendre et al. 2016",1.196263701,14000,14000000,16747691.81,7.22395496,7.146128036
Fossil,Edaphosaurus,oth,unknown,ectotherm,Based on Fig. 1d,1.161037861,300,300000,348311.3582,5.541967637,5.477121255
Fossil,Stegosaurus,oth,unknown,ectotherm,"Based on Fig. 1d, Legendre et al. 2016",0.873264917,7000,7000000,6112854.416,6.786244053,6.84509804
Fossil,Champsosaur,oth,unknown,ectotherm,Based on Fig. 1d,0.822995405,1,1000,822.9954054,2.915397411,3
Fossil,Cteniogenys,oth,unknown,ectotherm,Based on Fig. 1d,0.374521624,0.5,500,187.2608122,2.272446903,2.698970004
Fossil,Palaeophis,oth,known other,ectotherm,Lepidosaur,0.001468999,2,2000,2.937997587,0.468051435,3.301029996
Extant,Varanus,oth,known other,NA,NA,5.259812756,0.6,600,3155.887654,3.499121534,2.77815125
Extant,Anthrozous,oth,known other,NA,NA,5.051266282,0.3,300,1515.379885,3.180521518,2.477121255
Extant,Agama,oth,known other,NA,NA,3.00901101,0.3,300,902.703303,2.955545032,2.477121255
Extant,Gavialis,oth,known other,NA,NA,1.948783987,10,10000,19487.83987,4.289763702,4
Extant,Iguana,oth,known other,NA,NA,1.168899716,0.25,250,292.2249291,2.465717262,2.397940009
Extant,Furcifer,oth,known other,NA,NA,0.457325344,0.2,200,91.46506871,1.961255265,2.301029996